Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 0.5, Error, kappa, 0.0041859838711382, theta_a, 0.0000087370907812, theta_b, 0.2353813829644635, sigma, 0.0303835670871131
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 1.0, Error, kappa, 0.0071854013032646, theta_a, 0.0000086008365662, theta_b, 0.0634114790132601, sigma, 0.0797215760736031
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 2.0, Error, kappa, 0.0078984335250463, theta_a, 0.0000086158620317, theta_b, 1.6259562314233897, sigma, 0.1819531335461759
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 0.005, Error, kappa, 0.0005132860688708, theta_a, 0.0000469669002357, theta_b, 0.2411427832025481, sigma, 0.0194792295111032
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 0.01, Error, kappa, 0.0005437707890936, theta_a, 0.0000469807744088, theta_b, 0.2300970931806481, sigma, 0.0189795634895974
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 0.02, Error, kappa, 0.0005533493062277, theta_a, 0.0000469987304124, theta_b, 0.2440660517418511, sigma, 0.0180135042276851
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 0.05, Error, kappa, 0.0006363468190359, theta_a, 0.0000470472197460, theta_b, 0.2609631048910174, sigma, 0.0149401415843993
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 0.1, Error, kappa, 0.0009998999918724, theta_a, 0.0000499811140309, theta_b, 0.2361685017312838, sigma, 0.0100829264304684
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 0.5, Error, kappa, 0.0028083437199390, theta_a, 0.0000499999804162, theta_b, 0.1216976513916505, sigma, 0.0303578380458973
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 1.0, Error, kappa, 0.0022410482771079, theta_a, 0.0000492444296773, theta_b, 0.1000000000000000, sigma, 0.0796231666758548
