,kappa,theta_a,theta_b,sigma,error_kappa,error_theta_a,error_theta_b,error_sigma
69,0.01,0.0001,0.05,2.0,350.64871,100.00000,4874.21733,1.38527
70,0.01,0.0001,0.1,2.0,601.88517,86.92721,100.00000,0.06397
71,0.01,0.0001,0.5,2.0,958.83227,100.00000,349.21190,0.87205
72,0.01,0.0005,0.005,2.0,99.99000,41.37929,100.00000,0.33731
73,0.01,0.0005,0.01,2.0,475.56060,94.07825,39132.96984,0.47268
74,0.01,0.0005,0.02,2.0,1593.97094,93.36428,11831.49934,0.21657
75,0.01,0.0005,0.05,2.0,389.65898,97.49028,5002.46838,0.19740
76,0.01,0.0005,0.1,2.0,305.43852,100.00000,100.00000,0.27625
77,0.01,0.0005,0.5,2.0,50.27888,100.00000,772.19729,0.66723
78,0.01,0.001,0.005,2.0,973.59459,99.76073,207974.72048,0.17248
79,0.01,0.001,0.01,2.0,99.91558,36290.90252,100.00000,0.36743
80,0.01,0.001,0.02,2.0,1840.46962,99.02498,10906.52897,0.59041
81,0.01,0.001,0.05,2.0,99.95309,50326.69625,100.00000,1.27131
82,0.01,0.001,0.1,2.0,175.69752,95.39000,100.00000,0.22374
83,0.01,0.001,0.5,2.0,499.40066,100.00000,69.18219,0.95134
84,0.01,0.01,0.005,2.0,481.65993,99.92910,100.00000,0.44500
85,0.01,0.01,0.01,2.0,54.14393,97.75776,100.00000,0.97520
86,0.01,0.01,0.02,2.0,876.89203,99.84457,48724.84691,1.39965
87,0.01,0.01,0.05,2.0,541.72142,99.65206,5379.23869,0.48607
88,0.01,0.01,0.1,2.0,1282.93520,99.83244,5622.89304,0.91362
89,0.01,0.01,0.5,2.0,99.98976,98.60207,1920.91899,1.32342
90,0.01,0.1,0.005,2.0,99.98993,99.89908,100.00000,0.74221
91,0.01,0.1,0.01,2.0,1126.05484,99.99764,69687.38572,1.01235
92,0.01,0.1,0.02,2.0,346.65169,99.98877,100.00000,0.18487
93,0.01,0.1,0.05,2.0,658.75844,100.00000,100.00000,0.18912
94,0.01,0.1,0.1,2.0,718.69360,99.99586,2655.40450,0.62656
95,0.01,0.1,0.5,2.0,6.53510,99.98758,100.00000,0.27190
96,0.02,1e-06,0.005,0.5,99.99467,1837.53053,23071.39640,0.02748
97,0.02,1e-06,0.01,0.5,99.99454,2311.85638,100.00000,1.17455
98,0.02,1e-06,0.02,0.5,42.02400,99.99939,100.00000,0.33657
99,0.02,1e-06,0.05,0.5,318.92697,100.00000,100.00000,0.07941
100,0.02,1e-06,0.1,0.5,128.59998,99.99993,100.00000,1.14238
101,0.02,1e-06,0.5,0.5,99.97662,12452162.73774,100.00000,0.30222
102,0.02,1e-05,0.005,0.5,99.99452,137.25825,100.00000,0.84852
103,0.02,1e-05,0.01,0.5,106.09872,100.00000,100.00000,0.42088
104,0.02,1e-05,0.02,0.5,321.84603,100.00000,2788.60575,0.32812
105,0.02,1e-05,0.05,0.5,221.87334,100.00000,1556.42342,0.02655
106,0.02,1e-05,0.1,0.5,30.83185,100.00000,100.00000,0.22489
107,0.02,1e-05,0.5,0.5,628.15653,45.86849,99.99998,0.85532
108,0.02,5e-05,0.005,0.5,332.20614,100.00000,21452.49170,0.18915
109,0.02,5e-05,0.01,0.5,15.29324,100.00000,100.00000,0.59987
110,0.02,5e-05,0.02,0.5,126.49839,100.00000,100.00000,0.76968
111,0.02,5e-05,0.05,0.5,198.11076,100.00000,100.00000,0.51058
112,0.02,5e-05,0.1,0.5,221.57980,100.00000,100.00000,0.43036
113,0.02,5e-05,0.5,0.5,99.99499,54.16398,100.00000,1.14897
114,0.02,0.0001,0.005,0.5,399.72635,99.81311,16190.68745,0.44822
115,0.02,0.0001,0.01,0.5,229.56141,99.99998,100.00000,0.01140
116,0.02,0.0001,0.02,0.5,25.89085,100.00000,100.00000,0.97523
117,0.02,0.0001,0.05,0.5,99.81637,100.00000,100.00000,1.30481
118,0.02,0.0001,0.1,0.5,107.02887,100.00000,733.85253,0.21034
119,0.02,0.0001,0.5,0.5,25.20338,100.00000,164.93951,0.29578
120,0.02,0.0005,0.005,0.5,232.29979,100.00000,100.00000,1.55049
121,0.02,0.0005,0.01,0.5,313.90625,100.00000,100.00000,0.03622
122,0.02,0.0005,0.02,0.5,59.45464,98.07976,100.00000,0.25290
123,0.02,0.0005,0.05,0.5,165.75411,100.00000,1978.54238,0.76989
124,0.02,0.0005,0.1,0.5,222.29842,100.00000,543.62457,0.90777
125,0.02,0.0005,0.5,0.5,113.18690,99.17552,14.56943,0.83742
126,0.02,0.001,0.005,0.5,47.62246,99.25802,100.00000,0.88354
127,0.02,0.001,0.01,0.5,541.24241,99.98953,6013.53553,0.11796
