,kappa,theta_a,theta_b,sigma,error_kappa,error_theta_a,error_theta_b,error_sigma
351,0.1,5e-05,0.05,2.0,137.94666,99.99998,6421.05186,0.42672
352,0.1,5e-05,0.1,2.0,14.77676,100.00000,100.00000,0.24175
353,0.1,5e-05,0.5,2.0,16.94882,93.15071,100.00000,0.43498
354,0.1,0.0001,0.005,2.0,36.78602,100.00000,100.00000,0.24506
355,0.1,0.0001,0.01,2.0,8.20072,100.00000,6811.89167,0.03893
356,0.1,0.0001,0.02,2.0,76.79212,100.00000,100.00000,0.05591
357,0.1,0.0001,0.05,2.0,6.95664,100.00000,4005.24819,1.15927
358,0.1,0.0001,0.1,2.0,48.85340,99.61486,100.00000,0.48535
359,0.1,0.0001,0.5,2.0,15.17980,100.00000,145.19701,0.35268
360,0.1,0.0005,0.005,2.0,109.03155,100.00000,15843.92427,0.35036
361,0.1,0.0005,0.01,2.0,99.99899,88.36522,100.00000,0.40404
362,0.1,0.0005,0.02,2.0,3.71054,99.52538,9175.93511,0.08685
363,0.1,0.0005,0.05,2.0,17.58174,100.00000,100.00000,0.78927
364,0.1,0.0005,0.1,2.0,40.02242,100.00000,3471.99505,0.17450
365,0.1,0.0005,0.5,2.0,84.37348,100.00000,100.00000,0.18754
366,0.1,0.001,0.005,2.0,53.02429,100.00000,21214.70353,0.10831
367,0.1,0.001,0.01,2.0,1.21488,100.00000,2996.31060,0.54863
368,0.1,0.001,0.02,2.0,105.47500,99.39837,15399.88519,0.58197
369,0.1,0.001,0.05,2.0,14.09881,100.00000,100.00000,0.56182
370,0.1,0.001,0.1,2.0,67.31540,100.00000,853.32550,0.63043
371,0.1,0.001,0.5,2.0,19.01206,99.64165,6.05742,0.12897
372,0.1,0.01,0.005,2.0,20.16396,100.00000,26246.32693,1.30875
373,0.1,0.01,0.01,2.0,29.71195,100.00000,100.00000,0.47340
374,0.1,0.01,0.02,2.0,146.49733,99.84063,99.99999,0.32608
375,0.1,0.01,0.05,2.0,3.65138,99.90309,2964.67742,0.61376
376,0.1,0.01,0.1,2.0,1.34739,100.00000,100.00000,0.72595
377,0.1,0.01,0.5,2.0,89.48028,99.98328,100.00000,0.80012
378,0.1,0.1,0.005,2.0,12.34999,99.98414,92824.90595,0.41442
379,0.1,0.1,0.01,2.0,65.41015,99.98499,99.98681,0.25909
380,0.1,0.1,0.02,2.0,18.18426,99.98458,41112.90949,0.22673
381,0.1,0.1,0.05,2.0,127.91857,99.98848,6819.68505,0.88426
382,0.1,0.1,0.1,2.0,30.60679,99.98577,1276.51825,1.34507
383,0.1,0.1,0.5,2.0,37.08199,100.00000,813.84619,0.48752
384,0.5,1e-06,0.005,0.5,0.02104,99.99997,63.70575,1.27905
385,0.5,1e-06,0.01,0.5,29.43495,100.00000,721.55696,0.06528
386,0.5,1e-06,0.02,0.5,9.38167,100.00000,100.00000,0.03528
387,0.5,1e-06,0.05,0.5,0.02543,100.00000,100.00000,0.14820
388,0.5,1e-06,0.1,0.5,0.03250,100.00000,20.72540,0.70896
389,0.5,1e-06,0.5,0.5,0.02889,69.01935,16.65732,1.25818
390,0.5,1e-05,0.005,0.5,19.92783,99.84775,2052.69811,1.92209
391,0.5,1e-05,0.01,0.5,43.63452,97.83097,2222.50960,0.35876
392,0.5,1e-05,0.02,0.5,31.36249,89.95580,336.61338,0.02732
393,0.5,1e-05,0.05,0.5,61.30279,100.00000,100.00000,1.01160
394,0.5,1e-05,0.1,0.5,26.47916,95.79940,71.11339,0.10376
395,0.5,1e-05,0.5,0.5,19.75654,91.33987,26.03696,1.64380
396,0.5,5e-05,0.005,0.5,9.50056,100.00000,702.41764,0.10625
397,0.5,5e-05,0.01,0.5,26.42423,99.65922,100.00000,0.25724
398,0.5,5e-05,0.02,0.5,0.03797,98.69041,529.32600,0.47253
399,0.5,5e-05,0.05,0.5,0.03469,99.99950,100.00000,0.53362
400,0.5,5e-05,0.1,0.5,21.77512,100.00000,75.14283,0.30366
401,0.5,5e-05,0.5,0.5,24.60343,99.99117,13.24176,1.16411
402,0.5,0.0001,0.005,0.5,22.99180,100.00000,100.00000,1.17638
403,0.5,0.0001,0.01,0.5,0.03303,100.00000,100.00000,0.30330
404,0.5,0.0001,0.02,0.5,18.52396,99.70040,382.08778,1.13893
405,0.5,0.0001,0.05,0.5,0.01253,99.55333,100.00000,0.32778
406,0.5,0.0001,0.1,0.5,0.03914,100.00000,27.19824,1.05764
407,0.5,0.0001,0.5,0.5,0.04393,100.00000,25.89340,1.28190
408,0.5,0.0005,0.005,0.5,0.02234,100.00000,2463.89377,0.06076
409,0.5,0.0005,0.01,0.5,34.14676,99.97192,445.89933,0.35984
410,0.5,0.0005,0.02,0.5,0.04032,99.95380,100.00000,0.81028
411,0.5,0.0005,0.05,0.5,12.18611,99.95494,88.28983,0.59243
412,0.5,0.0005,0.1,0.5,29.07695,99.98835,87.50559,1.44861
413,0.5,0.0005,0.5,0.5,14.96131,100.00000,1.01230,0.01813
414,0.5,0.001,0.005,0.5,22.37363,100.00000,100.00000,0.73199
415,0.5,0.001,0.01,0.5,27.39768,100.00000,100.00000,0.65357
416,0.5,0.001,0.02,0.5,30.75289,100.00000,373.46249,0.36668
417,0.5,0.001,0.05,0.5,0.02502,100.00000,203.46130,0.31144
418,0.5,0.001,0.1,0.5,49.69830,100.00000,100.00000,1.18411
419,0.5,0.001,0.5,0.5,16.21159,99.97946,22.97009,0.43517
420,0.5,0.01,0.005,0.5,0.04375,99.99154,13348.43647,1.47453
421,0.5,0.01,0.01,0.5,15.32808,99.98498,4799.45908,0.63638
422,0.5,0.01,0.02,0.5,0.01084,99.99437,2383.43912,0.57076
423,0.5,0.01,0.05,0.5,44.21360,99.98188,305.68432,2.00616
424,0.5,0.01,0.1,0.5,53.28661,99.99152,430.32139,0.79936
425,0.5,0.01,0.5,0.5,23.02937,99.98960,109.70924,0.27341
426,0.5,0.1,0.005,0.5,89.20604,99.98634,90010.14274,0.23454
427,0.5,0.1,0.01,0.5,89.36315,99.98420,47271.08400,0.35098
428,0.5,0.1,0.02,0.5,88.70579,99.98409,23575.00768,1.01529
429,0.5,0.1,0.05,0.5,89.19541,99.98466,9118.48170,0.67533
430,0.5,0.1,0.1,0.5,89.79252,99.98291,4725.93715,0.39155
431,0.5,0.1,0.5,0.5,87.58758,99.98546,928.58085,0.64213
432,0.5,1e-06,0.005,2.0,4.64956,15.55035,1365.27085,0.61614
433,0.5,1e-06,0.01,2.0,13.96980,27.22975,1560.13432,1.01122
434,0.5,1e-06,0.02,2.0,2.88510,99.99992,1986.26835,0.02986
435,0.5,1e-06,0.05,2.0,9.24998,99.99992,100.00000,0.61633
436,0.5,1e-06,0.1,2.0,11.61067,100.00000,41.14236,1.29429
437,0.5,1e-06,0.5,2.0,13.13702,325.36139,92.07746,0.80216
438,0.5,1e-05,0.005,2.0,40.64672,99.68183,6442.03451,0.41046
439,0.5,1e-05,0.01,2.0,0.05294,100.00000,3533.03499,0.23284
440,0.5,1e-05,0.02,2.0,28.31181,79.25869,100.00000,0.65469
441,0.5,1e-05,0.05,2.0,31.75107,100.00000,100.00000,1.29471
442,0.5,1e-05,0.1,2.0,6.93547,95.26580,545.08831,0.25798
443,0.5,1e-05,0.5,2.0,39.46834,89.67648,119.34759,0.01839
444,0.5,5e-05,0.005,2.0,20.08582,99.47802,100.00000,0.82314
445,0.5,5e-05,0.01,2.0,29.00667,100.00000,100.00000,1.01221
446,0.5,5e-05,0.02,2.0,21.09594,97.86271,100.00000,0.19717
447,0.5,5e-05,0.05,2.0,56.96853,97.72845,1065.49301,0.51976
448,0.5,5e-05,0.1,2.0,20.18963,95.92436,100.00000,1.87688
449,0.5,5e-05,0.5,2.0,0.02780,100.00000,40.82224,0.76465
450,0.5,0.0001,0.005,2.0,18.60064,100.00000,100.00000,0.72178
451,0.5,0.0001,0.01,2.0,27.57614,99.27340,100.00000,1.02707
452,0.5,0.0001,0.02,2.0,12.03236,100.00000,100.00000,0.09097
453,0.5,0.0001,0.05,2.0,5.91994,100.00000,100.00000,1.10246
454,0.5,0.0001,0.1,2.0,25.15365,100.00000,100.00000,1.20341
455,0.5,0.0001,0.5,2.0,39.07642,100.00000,75.76272,0.90946
456,0.5,0.0005,0.005,2.0,24.51234,100.00000,100.00000,0.52402
457,0.5,0.0005,0.01,2.0,27.11645,99.55246,960.88059,0.31436
458,0.5,0.0005,0.02,2.0,24.37838,99.92199,100.00000,0.60395
459,0.5,0.0005,0.05,2.0,17.87190,100.00000,100.00000,0.49456
460,0.5,0.0005,0.1,2.0,17.50161,99.88656,544.75430,0.35153
461,0.5,0.0005,0.5,2.0,17.59398,99.69221,29.92351,0.13299
462,0.5,0.001,0.005,2.0,25.76711,99.55959,99.99999,1.52934
463,0.5,0.001,0.01,2.0,36.34986,100.00000,48.56836,1.67084
464,0.5,0.001,0.02,2.0,0.06679,100.00000,100.00000,0.13340
465,0.5,0.001,0.05,2.0,13.64537,100.00000,948.58769,1.70609
466,0.5,0.001,0.1,2.0,22.87212,100.00000,100.00000,1.22551
467,0.5,0.001,0.5,2.0,8.53145,99.92388,2.74541,1.30058
468,0.5,0.01,0.005,2.0,38.72908,99.99176,8512.45367,0.48585
469,0.5,0.01,0.01,2.0,47.13404,99.99136,3210.62074,0.80208
470,0.5,0.01,0.02,2.0,41.51648,100.00000,4181.73267,0.20521
471,0.5,0.01,0.05,2.0,9.07712,99.96401,922.65459,0.58087
472,0.5,0.01,0.1,2.0,2.99673,99.98680,457.75751,0.13676
473,0.5,0.01,0.5,2.0,14.51430,99.99749,140.00179,1.21040
474,0.5,0.1,0.005,2.0,4.23313,99.98504,57340.87777,0.22534
475,0.5,0.1,0.01,2.0,2.53288,99.98238,21085.45895,1.32694
476,0.5,0.1,0.02,2.0,25.55635,99.98165,8855.11413,0.85012
477,0.5,0.1,0.05,2.0,42.72973,99.97849,4010.15872,0.29019
478,0.5,0.1,0.1,2.0,6.83773,99.97990,1071.98531,0.12610
479,0.5,0.1,0.5,2.0,13.95064,99.97902,295.20824,0.81315
480,1.0,1e-06,0.005,0.5,4.50659,96.24573,100.00000,1.16398
481,1.0,1e-06,0.01,0.5,19.01903,100.00000,100.00000,1.01457
482,1.0,1e-06,0.02,0.5,1.94681,90.34596,100.00000,0.11020
483,1.0,1e-06,0.05,0.5,4.29581,100.00000,100.00000,0.64701
484,1.0,1e-06,0.1,0.5,5.25261,99.99998,72.63581,0.94776
485,1.0,1e-06,0.5,0.5,20.59486,72.05076,14.67993,0.02246
486,1.0,1e-05,0.005,0.5,20.92231,100.00000,100.00000,0.51698
487,1.0,1e-05,0.01,0.5,9.82176,100.00000,100.00000,0.12668
488,1.0,1e-05,0.02,0.5,0.20539,100.00000,100.00000,1.85683
489,1.0,1e-05,0.05,0.5,40.14035,100.00000,99.87344,0.45518
490,1.0,1e-05,0.1,0.5,7.72841,100.00000,100.00000,0.09001
491,1.0,1e-05,0.5,0.5,10.67049,97.03013,12.93214,0.51880
492,1.0,5e-05,0.005,0.5,20.89319,100.00000,100.00000,0.27122
493,1.0,5e-05,0.01,0.5,17.40513,100.00000,45.97537,1.12451
494,1.0,5e-05,0.02,0.5,27.21259,99.74987,2.79982,0.60103
495,1.0,5e-05,0.05,0.5,27.05881,100.00000,62.39139,1.13687
496,1.0,5e-05,0.1,0.5,1.18452,100.00000,16.50854,0.21880
497,1.0,5e-05,0.5,0.5,3.59608,99.99999,8.54772,0.87569
498,1.0,0.0001,0.005,0.5,34.55916,100.00000,406.83321,0.07614
499,1.0,0.0001,0.01,0.5,5.28419,99.71040,99.99785,1.22295
500,1.0,0.0001,0.02,0.5,5.75495,99.89841,59.21400,0.33680
501,1.0,0.0001,0.05,0.5,0.83671,99.93981,249.32983,0.25435
502,1.0,0.0001,0.1,0.5,12.14900,100.00000,72.94264,0.98485
503,1.0,0.0001,0.5,0.5,12.88486,99.61430,15.68080,0.60464
504,1.0,0.0005,0.005,0.5,2.59069,99.93028,328.75915,0.40925
505,1.0,0.0005,0.01,0.5,5.53945,99.93808,99.82810,0.38798
506,1.0,0.0005,0.02,0.5,4.32958,99.98939,149.81633,0.41588
507,1.0,0.0005,0.05,0.5,18.71371,100.00000,1.59776,0.97334
508,1.0,0.0005,0.1,0.5,15.75930,99.99467,39.15621,0.89184
509,1.0,0.0005,0.5,0.5,3.97483,99.99127,10.71824,0.84254
510,1.0,0.001,0.005,0.5,46.48909,99.99297,100.00000,0.83425
511,1.0,0.001,0.01,0.5,5.21897,100.00000,22.30848,0.83099
512,1.0,0.001,0.02,0.5,1.23231,99.96355,484.51778,1.95482
513,1.0,0.001,0.05,0.5,8.22713,99.99692,232.87967,0.86851
514,1.0,0.001,0.1,0.5,0.65129,99.96784,17.76349,0.09596
515,1.0,0.001,0.5,0.5,2.18264,100.00000,13.95523,0.67015
516,1.0,0.01,0.005,0.5,6.61050,99.98405,5312.45213,0.10153
517,1.0,0.01,0.01,0.5,6.81326,99.98252,1766.97025,0.64531
518,1.0,0.01,0.02,0.5,2.07206,99.97841,601.18504,0.54124
519,1.0,0.01,0.05,0.5,9.23318,99.98360,507.67878,0.91737
520,1.0,0.01,0.1,0.5,36.13128,99.98468,213.39404,1.85754
521,1.0,0.01,0.5,0.5,26.92446,99.97686,12.02003,1.01191
522,1.0,0.1,0.005,0.5,94.52013,99.98567,94603.87214,1.09197
523,1.0,0.1,0.01,0.5,94.45547,99.98510,47965.82084,0.40146
524,1.0,0.1,0.02,0.5,94.31963,99.98549,23760.56550,0.85423
525,1.0,0.1,0.05,0.5,94.75221,99.98360,9459.82201,0.29661
526,1.0,0.1,0.1,0.5,94.71171,99.98485,4722.25291,0.31170
527,1.0,0.1,0.5,0.5,77.84548,99.98138,443.40348,0.40819
528,1.0,1e-06,0.005,2.0,6.83475,100.00000,2979.21792,0.10117
529,1.0,1e-06,0.01,2.0,25.56808,99.99998,100.00000,0.91542
530,1.0,1e-06,0.02,2.0,11.54597,100.00000,201.49588,1.23867
531,1.0,1e-06,0.05,2.0,17.37514,100.00000,100.00000,0.78038
532,1.0,1e-06,0.1,2.0,0.51562,100.00000,218.47950,0.61432
533,1.0,1e-06,0.5,2.0,35.55534,100.00000,8.58762,1.01228
534,1.0,1e-05,0.005,2.0,34.71338,75.78587,99.94479,0.43549
535,1.0,1e-05,0.01,2.0,17.76459,100.00000,100.00000,0.18518
536,1.0,1e-05,0.02,2.0,24.93767,96.17496,100.00000,1.75381
537,1.0,1e-05,0.05,2.0,10.57809,100.00000,100.00000,0.12528
538,1.0,1e-05,0.1,2.0,32.86604,100.00000,133.13729,1.05467
539,1.0,1e-05,0.5,2.0,39.63266,90.16011,22.51154,1.36738
540,1.0,5e-05,0.005,2.0,17.35134,98.14013,100.00000,0.66850
541,1.0,5e-05,0.01,2.0,9.49335,99.34417,361.42832,1.39555
542,1.0,5e-05,0.02,2.0,19.69699,100.00000,100.00000,1.57729
543,1.0,5e-05,0.05,2.0,11.72081,100.00000,100.00000,1.35287
544,1.0,5e-05,0.1,2.0,34.03598,97.44478,72.71843,1.86878
545,1.0,5e-05,0.5,2.0,27.59708,99.44334,32.18054,0.36727
546,1.0,0.0001,0.005,2.0,2.59158,100.00000,100.00000,0.74091
547,1.0,0.0001,0.01,2.0,13.04681,99.65074,836.57117,0.20116
548,1.0,0.0001,0.02,2.0,0.84779,100.00000,100.00000,0.12405
549,1.0,0.0001,0.05,2.0,0.50460,99.65220,40.58781,1.27281
550,1.0,0.0001,0.1,2.0,6.00453,100.00000,145.05101,0.71088
551,1.0,0.0001,0.5,2.0,5.35473,100.00000,74.13972,0.53865
552,1.0,0.0005,0.005,2.0,12.39372,100.00000,2835.08368,0.85751
553,1.0,0.0005,0.01,2.0,12.30770,99.97485,573.85350,1.45170
554,1.0,0.0005,0.02,2.0,40.59352,100.00000,100.00000,0.87438
555,1.0,0.0005,0.05,2.0,10.21459,100.00000,194.80847,0.26501
556,1.0,0.0005,0.1,2.0,7.69966,100.00000,100.00000,1.40404
557,1.0,0.0005,0.5,2.0,2.99072,100.00000,6.38973,1.17195
558,1.0,0.001,0.005,2.0,4.41390,99.98203,3384.39502,0.87199
559,1.0,0.001,0.01,2.0,7.38573,100.00000,2955.03646,1.08405
560,1.0,0.001,0.02,2.0,5.07029,100.00000,1069.12866,0.46188
561,1.0,0.001,0.05,2.0,3.91180,100.00000,599.30349,0.81749
562,1.0,0.001,0.1,2.0,5.53689,100.00000,79.85962,0.14842
563,1.0,0.001,0.5,2.0,34.56605,99.83114,22.21811,0.55795
564,1.0,0.01,0.005,2.0,6.78750,99.98147,4808.19173,0.11549
565,1.0,0.01,0.01,2.0,1.48012,99.97064,965.94252,0.39976
566,1.0,0.01,0.02,2.0,1.62872,100.00000,2768.05455,1.89641
567,1.0,0.01,0.05,2.0,2.50817,100.00000,1348.22139,0.48935
568,1.0,0.01,0.1,2.0,1.37227,99.97613,295.69289,0.24436
569,1.0,0.01,0.5,2.0,33.13708,99.98926,57.86311,0.66366
570,1.0,0.1,0.005,2.0,6.06198,99.98122,36842.46625,0.54742
571,1.0,0.1,0.01,2.0,27.58588,99.98241,16750.84379,0.17795
572,1.0,0.1,0.02,2.0,12.58408,99.98185,9595.67849,1.66454
573,1.0,0.1,0.05,2.0,4.81359,99.97783,2099.62702,0.49623
574,1.0,0.1,0.1,2.0,17.43659,99.98169,1811.72172,1.04159
575,1.0,0.1,0.5,2.0,21.15825,99.98315,399.82674,1.51492
576,1.5,1e-06,0.005,0.5,25.72354,99.99999,100.00000,1.35788
577,1.5,1e-06,0.01,0.5,0.99403,84.68088,42.02321,0.58244
578,1.5,1e-06,0.02,0.5,5.38677,100.00000,11.42997,0.14726
579,1.5,1e-06,0.05,0.5,7.07838,100.00000,37.80067,0.31469
580,1.5,1e-06,0.1,0.5,2.27681,94.08206,4.87470,0.28977
581,1.5,1e-06,0.5,0.5,1.46679,99.99996,6.67014,0.59908
582,1.5,1e-05,0.005,0.5,10.41887,100.00000,781.19034,0.55851
583,1.5,1e-05,0.01,0.5,3.52085,100.00000,333.26172,0.79610
584,1.5,1e-05,0.02,0.5,28.48005,99.57401,58.52400,1.20128
585,1.5,1e-05,0.05,0.5,34.01463,100.00000,36.43023,2.43849
586,1.5,1e-05,0.1,0.5,12.04428,99.94806,7.97204,0.39214
587,1.5,1e-05,0.5,0.5,2.72184,100.00000,4.14220,0.67305
588,1.5,5e-05,0.005,0.5,9.79680,99.92333,922.31546,0.14394
589,1.5,5e-05,0.01,0.5,2.80146,100.00000,100.00000,0.00437
590,1.5,5e-05,0.02,0.5,4.67839,100.00000,120.44908,0.65641
591,1.5,5e-05,0.05,0.5,22.77033,100.00000,14.45868,0.41190
592,1.5,5e-05,0.1,0.5,1.83089,100.00000,42.38992,0.50100
593,1.5,5e-05,0.5,0.5,0.50739,100.00000,4.86647,0.06566
594,1.5,0.0001,0.005,0.5,7.41341,100.00000,100.00000,0.79581
595,1.5,0.0001,0.01,0.5,0.81679,99.75503,35.21073,0.69125
596,1.5,0.0001,0.02,0.5,10.34572,100.00000,100.00000,0.66888
597,1.5,0.0001,0.05,0.5,2.33073,99.81866,5.41340,0.50254
598,1.5,0.0001,0.1,0.5,12.08484,99.98510,43.35365,1.17424
599,1.5,0.0001,0.5,0.5,8.66089,100.00000,14.09187,1.19579
600,1.5,0.0005,0.005,0.5,15.41461,100.00000,100.00000,0.67467
601,1.5,0.0005,0.01,0.5,25.63367,100.00000,384.32063,1.77905
602,1.5,0.0005,0.02,0.5,11.75007,99.98531,239.04937,1.39299
603,1.5,0.0005,0.05,0.5,12.56846,100.00000,133.13525,0.98020
604,1.5,0.0005,0.1,0.5,18.39555,99.96470,19.76980,1.42617
605,1.5,0.0005,0.5,0.5,0.34732,99.96226,7.22171,0.46420
606,1.5,0.001,0.005,0.5,16.97786,99.98956,868.59997,1.71652
607,1.5,0.001,0.01,0.5,25.47914,99.99077,303.59071,0.25183
608,1.5,0.001,0.02,0.5,1.96983,99.99694,102.05375,0.67528
609,1.5,0.001,0.05,0.5,11.92457,100.00000,181.21948,0.74450
610,1.5,0.001,0.1,0.5,3.53427,99.95151,42.25708,0.21354
611,1.5,0.001,0.5,0.5,1.30312,99.96747,0.09989,0.03546
612,1.5,0.01,0.005,0.5,8.87760,99.97830,1413.48939,0.78058
613,1.5,0.01,0.01,0.5,3.51211,99.98090,1186.42287,0.77681
614,1.5,0.01,0.02,0.5,11.83333,99.97935,688.32809,0.43497
615,1.5,0.01,0.05,0.5,12.66026,99.97909,329.72105,0.27876
616,1.5,0.01,0.1,0.5,11.84976,99.97987,177.77360,0.30962
617,1.5,0.01,0.5,0.5,1.76236,99.97961,22.60083,0.25004
618,1.5,0.1,0.005,0.5,96.24364,99.98547,95529.59900,0.20997
619,1.5,0.1,0.01,0.5,96.21455,99.98588,48069.88682,0.52296
620,1.5,0.1,0.02,0.5,96.27382,99.98506,24493.70491,0.35541
621,1.5,0.1,0.05,0.5,95.98458,99.98635,9755.67380,0.71931
622,1.5,0.1,0.1,0.5,96.13165,99.98538,4761.77306,0.28634
623,1.5,0.1,0.5,0.5,95.76763,99.98603,963.47880,1.58649
624,1.5,1e-06,0.005,2.0,9.65609,35.10095,99.99768,1.20836
625,1.5,1e-06,0.01,2.0,3.31897,100.00000,120.21822,1.71252
626,1.5,1e-06,0.02,2.0,1.31164,15.73201,100.00000,1.28234
627,1.5,1e-06,0.05,2.0,28.46681,70.94285,100.00000,1.11736
628,1.5,1e-06,0.1,2.0,3.05324,100.00000,100.00000,0.55711
629,1.5,1e-06,0.5,2.0,20.02518,100.00000,6.31358,1.41924
630,1.5,1e-05,0.005,2.0,3.35065,100.00000,271.05817,1.20368
631,1.5,1e-05,0.01,2.0,4.36914,100.00000,100.00000,0.65519
632,1.5,1e-05,0.02,2.0,0.63386,100.00000,100.00000,1.66379
633,1.5,1e-05,0.05,2.0,13.13155,95.12776,73.98989,0.16742
634,1.5,1e-05,0.1,2.0,12.21032,99.99956,37.95588,1.06721
635,1.5,1e-05,0.5,2.0,6.21105,82.60178,13.22833,1.17219
636,1.5,5e-05,0.005,2.0,2.56371,97.24715,99.99926,0.53036
637,1.5,5e-05,0.01,2.0,14.36425,100.00000,825.88012,0.14999
638,1.5,5e-05,0.02,2.0,13.32550,100.00000,166.67601,1.63879
639,1.5,5e-05,0.05,2.0,27.89759,100.00000,100.00000,1.02287
640,1.5,5e-05,0.1,2.0,3.02725,99.72812,73.19947,1.20101
641,1.5,5e-05,0.5,2.0,8.66766,100.00000,11.85407,1.01849
642,1.5,0.0001,0.005,2.0,10.68776,100.00000,872.89881,0.68277
643,1.5,0.0001,0.01,2.0,0.96321,100.00000,100.00000,1.91810
644,1.5,0.0001,0.02,2.0,19.48006,99.74602,438.08726,0.34769
645,1.5,0.0001,0.05,2.0,27.82309,99.38392,100.00000,2.35726
646,1.5,0.0001,0.1,2.0,7.75783,99.13136,99.99992,2.28596
647,1.5,0.0001,0.5,2.0,5.85274,99.87039,50.18595,0.19195
648,1.5,0.0005,0.005,2.0,16.57765,100.00000,4749.87716,0.38874
649,1.5,0.0005,0.01,2.0,12.34055,100.00000,100.00000,0.32768
650,1.5,0.0005,0.02,2.0,3.22589,99.87385,100.00000,0.96610
651,1.5,0.0005,0.05,2.0,1.50431,100.00000,100.00000,1.39154
652,1.5,0.0005,0.1,2.0,11.85717,100.00000,43.32433,0.76443
653,1.5,0.0005,0.5,2.0,5.36051,99.80285,51.36801,1.62776
654,1.5,0.001,0.005,2.0,6.63331,100.00000,151.40160,0.40290
655,1.5,0.001,0.01,2.0,16.95130,100.00000,100.00000,0.74260
656,1.5,0.001,0.02,2.0,5.07298,100.00000,100.00000,0.82756
657,1.5,0.001,0.05,2.0,4.62668,99.91827,325.19220,0.10369
658,1.5,0.001,0.1,2.0,6.98156,100.00000,79.20819,0.03211
659,1.5,0.001,0.5,2.0,4.74556,99.95472,1.66961,0.25554
660,1.5,0.01,0.005,2.0,4.12966,99.98134,224.23983,1.14019
661,1.5,0.01,0.01,2.0,5.24819,99.99757,3529.77171,1.69329
662,1.5,0.01,0.02,2.0,3.74561,99.98755,893.75732,0.90886
663,1.5,0.01,0.05,2.0,27.56253,99.97243,136.55430,1.10056
664,1.5,0.01,0.1,2.0,11.81006,99.98167,186.30281,1.25317
665,1.5,0.01,0.5,2.0,31.07512,100.00000,83.22158,0.86593
666,1.5,0.1,0.005,2.0,20.12392,99.98080,35204.27267,1.39111
667,1.5,0.1,0.01,2.0,15.10110,99.98101,17225.90950,0.09289
668,1.5,0.1,0.02,2.0,18.55996,99.98207,11263.15340,0.76576
669,1.5,0.1,0.05,2.0,37.73667,99.98123,3559.61966,1.25043
670,1.5,0.1,0.1,2.0,31.25895,99.98263,2387.27439,0.78157
671,1.5,0.1,0.5,2.0,26.71782,99.98143,397.89921,0.83665
672,2.0,1e-06,0.005,0.5,6.91634,94.04477,100.00000,0.25520
673,2.0,1e-06,0.01,0.5,0.10348,99.56139,122.45098,0.24169
674,2.0,1e-06,0.02,0.5,3.37544,97.26477,100.00000,0.54180
675,2.0,1e-06,0.05,0.5,3.10647,94.60258,7.81192,0.04789
676,2.0,1e-06,0.1,0.5,2.44796,100.00000,17.64588,0.70946
677,2.0,1e-06,0.5,0.5,10.80287,93.10394,2.44742,1.22608
678,2.0,1e-05,0.005,0.5,3.80697,99.30579,100.00000,0.98776
679,2.0,1e-05,0.01,0.5,5.04366,100.00000,100.00000,0.70485
680,2.0,1e-05,0.02,0.5,1.56181,99.99999,26.17348,0.08095
681,2.0,1e-05,0.05,0.5,17.51121,98.58488,9.04402,1.63019
682,2.0,1e-05,0.1,0.5,9.44167,100.00000,6.37628,2.48162
683,2.0,1e-05,0.5,0.5,7.30609,100.00000,3.38170,0.53543
684,2.0,5e-05,0.005,0.5,1.02492,99.91115,180.02947,0.06100
685,2.0,5e-05,0.01,0.5,11.93166,100.00000,100.00000,0.45054
686,2.0,5e-05,0.02,0.5,7.73327,99.86958,41.65061,0.66279
687,2.0,5e-05,0.05,0.5,0.24370,99.83146,7.10577,2.35786
688,2.0,5e-05,0.1,0.5,3.32000,99.77861,1.97410,0.19246
689,2.0,5e-05,0.5,0.5,6.67105,99.45543,3.32694,1.14686
690,2.0,0.0001,0.005,0.5,6.41253,99.99999,100.00000,0.79810
691,2.0,0.0001,0.01,0.5,6.36245,100.00000,62.68793,0.05865
692,2.0,0.0001,0.02,0.5,9.78628,99.98357,100.00000,1.32706
693,2.0,0.0001,0.05,0.5,18.38260,100.00000,67.32129,1.51711
694,2.0,0.0001,0.1,0.5,7.69725,100.00000,8.23879,1.16835
695,2.0,0.0001,0.5,0.5,4.24390,99.99999,9.77231,0.62750
696,2.0,0.0005,0.005,0.5,4.54441,99.99941,100.00000,0.83680
697,2.0,0.0005,0.01,0.5,10.03984,99.99302,100.00000,0.61418
698,2.0,0.0005,0.02,0.5,1.77482,99.96713,167.32146,2.10628
699,2.0,0.0005,0.05,0.5,0.93856,99.97124,32.37232,1.89177
700,2.0,0.0005,0.1,0.5,9.51403,99.95840,23.08747,0.37659
701,2.0,0.0005,0.5,0.5,9.21771,99.96213,6.17714,0.77498
702,2.0,0.001,0.005,0.5,13.74136,99.97940,100.00000,0.86380
703,2.0,0.001,0.01,0.5,9.61294,99.98290,811.59417,0.60804
704,2.0,0.001,0.02,0.5,6.64392,99.98540,217.07814,1.09493
705,2.0,0.001,0.05,0.5,1.59680,100.00000,141.66933,0.81846
706,2.0,0.001,0.1,0.5,10.55817,99.96295,17.54332,0.80074
707,2.0,0.001,0.5,0.5,4.78964,99.94664,10.83779,1.41143
708,2.0,0.01,0.005,0.5,24.60458,99.97613,1601.70811,0.11160
709,2.0,0.01,0.01,0.5,28.18089,99.97817,1180.57169,1.13846
